# Metric: Kerr-Newman
#	m = 1.000000e+00
#	a = 0.000000e+00
#	q = 0.000000e+00
# particle:
#	m = 1.000000e+00
#	q = 0.000000e+00
# length_4velocity = 1.000000e+00
# dtau = 1.000000e-03
# tau_max = 6.500000e+01
# max_wrongness = 1.000000e-04
# max_x1 = 5.010000e+01
# x3 x1 x2 x0	wrong	u3 u1 u2 u0
1.746189e-03 8.968104e+00 1.570796e+00 5.551476e-02	9.757820e-19	6.042755e-02 -1.099730e+00 6.460895e-21 1.915277e+00	2.900000e-02	1.000000e-03
1.806624e-03 8.967004e+00 1.570796e+00 5.743007e-02	1.084202e-19	6.044238e-02 -1.099721e+00 6.686144e-21 1.915344e+00	3.000000e-02	1.000000e-03
1.867074e-03 8.965904e+00 1.570796e+00 5.934544e-02	4.336809e-19	6.045720e-02 -1.099711e+00 6.911558e-21 1.915411e+00	3.100000e-02	1.000000e-03
1.927538e-03 8.964805e+00 1.570796e+00 6.126089e-02	4.336809e-19	6.047204e-02 -1.099702e+00 7.137138e-21 1.915479e+00	3.200000e-02	1.000000e-03
1.988018e-03 8.963705e+00 1.570796e+00 6.317640e-02	0.000000e+00	6.048688e-02 -1.099693e+00 7.362883e-21 1.915546e+00	3.300000e-02	1.000000e-03
2.048512e-03 8.962605e+00 1.570796e+00 6.509198e-02	5.421011e-19	6.050172e-02 -1.099683e+00 7.588793e-21 1.915614e+00	3.400000e-02	1.000000e-03
2.109021e-03 8.961506e+00 1.570796e+00 6.700763e-02	6.505213e-19	6.051657e-02 -1.099674e+00 7.814869e-21 1.915681e+00	3.500000e-02	1.000000e-03
2.169545e-03 8.960406e+00 1.570796e+00 6.892334e-02	6.505213e-19	6.053142e-02 -1.099665e+00 8.041111e-21 1.915749e+00	3.600000e-02	1.000000e-03
2.230084e-03 8.959306e+00 1.570796e+00 7.083913e-02	4.336809e-19	6.054628e-02 -1.099655e+00 8.267519e-21 1.915816e+00	3.700000e-02	1.000000e-03
2.290638e-03 8.958207e+00 1.570796e+00 7.275498e-02	8.673617e-19	6.056115e-02 -1.099646e+00 8.494093e-21 1.915884e+00	3.800000e-02	1.000000e-03
2.351206e-03 8.957107e+00 1.570796e+00 7.467090e-02	7.589415e-19	6.057602e-02 -1.099636e+00 8.720833e-21 1.915952e+00	3.900000e-02	1.000000e-03
2.411790e-03 8.956007e+00 1.570796e+00 7.658688e-02	4.336809e-19	6.059090e-02 -1.099627e+00 8.947739e-21 1.916019e+00	4.000000e-02	1.000000e-03
2.472388e-03 8.954908e+00 1.570796e+00 7.850293e-02	4.336809e-19	6.060578e-02 -1.099618e+00 9.174812e-21 1.916087e+00	4.100000e-02	1.000000e-03
2.533001e-03 8.953808e+00 1.570796e+00 8.041905e-02	6.505213e-19	6.062066e-02 -1.099608e+00 9.402051e-21 1.916155e+00	4.200000e-02	1.000000e-03
2.593629e-03 8.952709e+00 1.570796e+00 8.233524e-02	1.192622e-18	6.063556e-02 -1.099599e+00 9.629457e-21 1.916222e+00	4.300000e-02	1.000000e-03
2.654272e-03 8.951609e+00 1.570796e+00 8.425150e-02	1.084202e-18	6.065045e-02 -1.099589e+00 9.857029e-21 1.916290e+00	4.400000e-02	1.000000e-03
2.714930e-03 8.950509e+00 1.570796e+00 8.616782e-02	7.589415e-19	6.066536e-02 -1.099580e+00 1.008477e-20 1.916358e+00	4.500000e-02	1.000000e-03
2.775603e-03 8.949410e+00 1.570796e+00 8.808421e-02	7.589415e-19	6.068027e-02 -1.099570e+00 1.031268e-20 1.916426e+00	4.600000e-02	1.000000e-03
2.836291e-03 8.948310e+00 1.570796e+00 9.000067e-02	2.168404e-19	6.069518e-02 -1.099561e+00 1.054075e-20 1.916493e+00	4.700000e-02	1.000000e-03
2.896993e-03 8.947211e+00 1.570796e+00 9.191720e-02	-1.084202e-19	6.071010e-02 -1.099552e+00 1.076899e-20 1.916561e+00	4.800000e-02	1.000000e-03
2.957711e-03 8.946111e+00 1.570796e+00 9.383380e-02	-1.084202e-19	6.072502e-02 -1.099542e+00 1.099740e-20 1.916629e+00	4.900000e-02	1.000000e-03
3.018443e-03 8.945012e+00 1.570796e+00 9.575046e-02	0.000000e+00	6.073995e-02 -1.099533e+00 1.122597e-20 1.916697e+00	5.000000e-02	1.000000e-03
3.079191e-03 8.943912e+00 1.570796e+00 9.766719e-02	-4.878910e-19	6.075489e-02 -1.099523e+00 1.145472e-20 1.916765e+00	5.100000e-02	1.000000e-03
3.139953e-03 8.942813e+00 1.570796e+00 9.958399e-02	1.084202e-19	6.076983e-02 -1.099514e+00 1.168363e-20 1.916832e+00	5.200000e-02	1.000000e-03
3.200731e-03 8.941713e+00 1.570796e+00 1.015009e-01	2.168404e-19	6.078477e-02 -1.099504e+00 1.191271e-20 1.916900e+00	5.300000e-02	1.000000e-03
